trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.8575999999999959}",30,0,-231.35172579952155,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
90,False,"{'a': 0.5, 'e': 0.8559999999999959}",35,0,-205.76837845836474,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.8543999999999958}",25,0,-87.70700659967883,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8527999999999958}",40,20,-86.26125903574722,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.8511999999999957}",25,0,-126.32244925722439,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.8495999999999957}",35,0,-124.57632126866984,"{0: 22, 1: 6, 2: 4, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.8479999999999956}",45,7,-197.3253605955456,"{0: 21, 1: 7, 2: 7, 3: 0, 4: 3}",1
96,False,"{'a': 0.5, 'e': 0.8463999999999956}",35,0,-88.27098194125838,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.8447999999999956}",30,0,-120.12886632829988,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.8431999999999955}",40,17,-112.14578205379806,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.8415999999999955}",20,0,-122.30456944466638,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.8399999999999954}",25,0,-70.24486796916538,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8383999999999954}",25,0,-166.18122947184693,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.8367999999999953}",35,0,-37.75594983561102,"{0: 27, 1: 4, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.8351999999999953}",35,8,-97.7343292081588,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.8335999999999952}",30,0,-80.14791399927283,"{0: 25, 1: 0, 2: 1, 3: 3, 4: 1}",0
